"result_id","candidate_id","edition_id","reached_round","preliminary","quarterfinalist","semifinalist","finalist","laureate_rank","prize","result_source_url","notes"
"1","1","1","Semifinal","1","1","1","0","","","https://cliburn.org/news/semifinalists-announced-2025-cliburn-competition",""
"2","2","1","Semifinal","1","1","1","0","","Raymond E. Buck Jury Discretionary Award","https://cliburn.org/competitions/2025-cliburn-competition/prizes-and-awards",""
"3","3","1","Quarterfinal","1","1","0","0","","Patricia and Neal Steffen Family Jury Discretionary Award","https://cliburn.org/competitions/2025-cliburn-competition/prizes-and-awards",""
"4","4","1","Semifinal","1","1","1","0","","Beverley Taylor Smith Award for Best Performance of a New Work","https://cliburn.org/competitions/2025-cliburn-competition/prizes-and-awards",""
"5","5","1","Semifinal","1","1","1","0","","","https://cliburn.org/news/semifinalists-announced-2025-cliburn-competition",""
"6","6","1","Semifinal","1","1","1","0","","","https://cliburn.org/news/semifinalists-announced-2025-cliburn-competition",""
"7","7","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"8","8","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"9","9","1","Quarterfinal","1","1","0","0","","","https://cliburn.org/news/quarterfinalists-announced-2025-cliburn-competition",""
"10","10","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"11","11","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"12","12","1","Final","1","1","1","1","","","https://cliburn.org/news/semifinalists-announced-2025-cliburn-competition",""
"13","13","1","Quarterfinal","1","1","0","0","","","https://cliburn.org/news/quarterfinalists-announced-2025-cliburn-competition",""
"14","14","1","Quarterfinal","1","1","0","0","","John Giordano Jury Chairman Discretionary Award","https://cliburn.org/competitions/2025-cliburn-competition/prizes-and-awards",""
"15","15","1","Quarterfinal","1","1","0","0","","","https://cliburn.org/news/quarterfinalists-announced-2025-cliburn-competition",""
"16","16","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"17","17","1","Final","1","1","1","1","","","https://cliburn.org/news/semifinalists-announced-2025-cliburn-competition",""
"18","18","1","Quarterfinal","1","1","0","0","","","https://cliburn.org/news/quarterfinalists-announced-2025-cliburn-competition",""
"19","19","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"20","20","1","Final","1","1","1","1","3","Bronze Medal; Best Performance of a Mozart Concerto","https://cliburn.org/competitions/2025-cliburn-competition/prizes-and-awards",""
"21","21","1","Semifinal","1","1","1","0","","","https://cliburn.org/news/semifinalists-announced-2025-cliburn-competition",""
"22","22","1","Final","1","1","1","1","1","Nancy Lee and Perry R. Bass Gold Medal; Audience Award","https://cliburn.org/competitions/2025-cliburn-competition/prizes-and-awards",""
"23","23","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"24","24","1","Final","1","1","1","1","2","Silver Medal","https://cliburn.org/competitions/2025-cliburn-competition/prizes-and-awards",""
"25","25","1","Final","1","1","1","1","","","https://cliburn.org/news/semifinalists-announced-2025-cliburn-competition",""
"26","26","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"27","27","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
"28","28","1","Preliminary","1","0","0","0","","","https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors",""
