work_id,composer_id,raw_title,normalized_title,catalog_number,key,genre,period,approximate_duration,is_transcription,is_concerto,is_sonata,is_etude,is_variations,is_cycle,is_large_form,is_contemporary,notes
1,1,"Capriccio in B-flat Major, BWV 992 ""On the Departure of a Beloved Brother""","capriccio in b-flat major, bwv 992 ""on the departure of a beloved brother""",,,,,,0,0,0,0,0,0,0,0,
2,2,Rachtime,rachtime,,,,,,0,0,0,0,0,0,0,1,
3,3,"Sonata in F-sharp Minor, op. 25, no. 5","sonata in f-sharp minor, op. 25, no. 5",,,,,,0,0,1,0,0,0,1,0,
4,4,"Scherzo, op. 52, no. 6","scherzo, op. 52, no. 6",,,,,,0,0,0,0,0,0,0,0,
5,4,"Visions fugitives, op. 22, nos. 17, 14, 16","visions fugitives, op. 22, nos. 17, 14, 16",,,,,,0,0,0,0,0,1,0,0,
6,4,"Suggestion diabolique, op. 4, no. 4","suggestion diabolique, op. 4, no. 4",,,,,,0,0,0,0,0,0,0,0,
7,5,"Preludes, op. 34, nos. 1, 15, 16, 9, 17","preludes, op. 34, nos. 1, 15, 16, 9, 17",,,,,,0,0,0,0,0,1,0,0,
8,6,"Klavierstücke, op. 76, nos. 4, 5, 7, 8","klavierstücke, op. 76, nos. 4, 5, 7, 8",,,,,,0,0,0,0,0,0,0,0,
9,5,"Preludes, op. 34, nos. 20, 13, 14","preludes, op. 34, nos. 20, 13, 14",,,,,,0,0,0,0,0,1,0,0,
10,7,Piano Sonata,piano sonata,,,,,,0,0,1,0,0,0,1,0,
11,8,"Davidsbündlertänze, op. 6","davidsbündlertänze, op. 6",,,,,,0,0,0,0,0,0,0,0,
12,9,"Five Preludes, op. 74","five preludes, op. 74",,,,,,0,0,0,0,0,1,0,0,
13,10,Sonata No. 3 in B-flat Major,sonata no. 3 in b-flat major,,,,,,0,0,1,0,0,0,1,0,
14,11,"Piano Concerto No. 22 in E-flat Major, K. 482","piano concerto no. 22 in e-flat major, k. 482",,,,,,0,1,0,0,0,0,1,0,
15,12,Piano Concerto for the Left Hand in D Major,piano concerto for the left hand in d major,,,,,,0,1,0,0,0,0,1,0,
16,4,"Piano Concerto No. 2 in G Minor, op. 16","piano concerto no. 2 in g minor, op. 16",,,,,,0,1,0,0,0,0,1,0,
17,13,Piano Concerto No. 2 in A Major,piano concerto no. 2 in a major,,,,,,0,1,0,0,0,0,1,0,
18,14,"Piano Concerto No. 1 in B-flat Minor, op. 23","piano concerto no. 1 in b-flat minor, op. 23",,,,,,0,1,0,0,0,0,1,0,
19,15,"Piano Concerto No. 4 in G Major, op. 58","piano concerto no. 4 in g major, op. 58",,,,,,0,1,0,0,0,0,1,0,
20,16,"Piano Concerto No. 1 in G Minor, op. 25","piano concerto no. 1 in g minor, op. 25",,,,,,0,1,0,0,0,0,1,0,
21,6,"Piano Concerto No. 2 in B-flat Major, op. 83","piano concerto no. 2 in b-flat major, op. 83",,,,,,0,1,0,0,0,0,1,0,
22,7,Piano Concerto No. 2 in G Major,piano concerto no. 2 in g major,,,,,,0,1,0,0,0,0,1,0,
23,8,"Piano Concerto in A Minor, op 54","piano concerto in a minor, op. 54",,,,,,0,1,0,0,0,0,1,0,
24,17,"Piano Concerto No. 3 in D Minor, op. 30","piano concerto no. 3 in d minor, op. 30",,,,,,0,1,0,0,0,0,1,0,
