raw_name,normalized_name,notes
Bach,Bach,initial exact alias
Montero,Montero,initial exact alias
Clementi,Clementi,initial exact alias
Prokofiev,Prokofiev,initial exact alias
Shostakovich,Shostakovich,initial exact alias
Brahms,Brahms,initial exact alias
Bartók,Bartók,initial exact alias
Schumann,Schumann,initial exact alias
Scriabin,Scriabin,initial exact alias
Hindemith,Hindemith,initial exact alias
Mozart,Mozart,initial exact alias
Ravel,Ravel,initial exact alias
Liszt,Liszt,initial exact alias
Tchaikovsky,Tchaikovsky,initial exact alias
Beethoven,Beethoven,initial exact alias
Mendelssohn,Mendelssohn,initial exact alias
Rachmaninov,Rachmaninov,initial exact alias
