performance_work_id,performance_id,work_id,order_in_program,movement_info,raw_text,source_url
1,29,1,1,,"BACH Capriccio in B-flat Major, BWV 992 ""On the Departure of a Beloved Brother""",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
2,29,2,2,,MONTERO Rachtime,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
3,29,3,3,,"CLEMENTI Sonata in F-sharp Minor, op. 25, no. 5",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
4,29,4,4,,"PROKOFIEV Scherzo, op. 52, no. 6",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
5,29,5,5,,"PROKOFIEV Visions fugitives, op. 22, nos. 17, 14, 16",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
6,29,6,6,,"PROKOFIEV Suggestion diabolique, op. 4, no. 4",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
7,30,7,1,,"SHOSTAKOVICH Preludes, op. 34, nos. 1, 15, 16, 9, 17",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
8,30,8,2,,"BRAHMS Klavierstücke, op. 76, nos. 4, 5, 7, 8",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
9,30,9,3,,"SHOSTAKOVICH Preludes, op. 34, nos. 20, 13, 14",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
10,30,10,4,,BARTÓK Piano Sonata,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
11,31,11,1,,"SCHUMANN Davidsbündlertänze, op. 6",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
12,31,12,2,,"SCRIABIN Five Preludes, op. 74",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
13,31,13,3,,HINDEMITH Sonata No. 3 in B-flat Major,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
14,32,14,1,,"MOZART Piano Concerto No. 22 in E-flat Major, K. 482",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
15,33,15,1,,RAVEL Piano Concerto for the Left Hand in D Major,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
16,34,16,1,,"PROKOFIEV Piano Concerto No. 2 in G Minor, op. 16",https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson
17,46,17,1,,LISZT Piano Concerto No. 2 in A Major,https://cliburn.org/competitions/2025-cliburn-competition/schedule
18,47,16,1,,"PROKOFIEV Piano Concerto No. 2 in G Minor, op. 16",https://cliburn.org/competitions/2025-cliburn-competition/schedule
19,55,18,1,,"TCHAIKOVSKY Piano Concerto No. 1 in B-flat Minor, op. 23",https://cliburn.org/competitions/2025-cliburn-competition/schedule
20,56,19,1,,"BEETHOVEN Piano Concerto No. 4 in G Major, op. 58",https://cliburn.org/competitions/2025-cliburn-competition/schedule
21,65,20,1,,"MENDELSSOHN Piano Concerto No. 1 in G Minor, op. 25",https://cliburn.org/competitions/2025-cliburn-competition/schedule
22,66,21,1,,"BRAHMS Piano Concerto No. 2 in B-flat Major, op. 83",https://cliburn.org/competitions/2025-cliburn-competition/schedule
23,72,22,1,,BARTOK Piano Concerto No. 2 in G Major,https://cliburn.org/competitions/2025-cliburn-competition/schedule
24,73,23,1,,"SCHUMANN Piano Concerto in A Minor, op 54",https://cliburn.org/competitions/2025-cliburn-competition/schedule
25,78,19,1,,"BEETHOVEN Piano Concerto No. 4 in G Major, op. 58",https://cliburn.org/competitions/2025-cliburn-competition/schedule
26,79,24,1,,"RACHMANINOV Piano Concerto No. 3 in D Minor, op. 30",https://cliburn.org/competitions/2025-cliburn-competition/schedule
