"raw_title","normalized_title","notes"
"Sonata-Elegy in D Minor, op. 11, no. 2","sonata-elegy in d minor, op. 11, no. 2","candidate_page_normalization_preserves_raw_title"
"Scherzo in E-flat Minor, op. 4","scherzo in e-flat minor, op. 4","candidate_page_normalization_preserves_raw_title"
"Rachtime","rachtime","candidate_page_normalization_preserves_raw_title"
"Après une lecture du Dante: Fantasia quasi Sonata","après une lecture du dante: fantasia quasi sonata","candidate_page_normalization_preserves_raw_title"
"Pour le piano","pour le piano","candidate_page_normalization_preserves_raw_title"
"Six Pieces for Piano","six pieces for piano","candidate_page_normalization_preserves_raw_title"
"Sonata No. 3 in A Minor, op. 28","sonata no. 3 in a minor, op. 28","candidate_page_normalization_preserves_raw_title"
"Fantasie in C Major, op. 17","fantasie in c major, op. 17","candidate_page_normalization_preserves_raw_title"
"Sonata No. 2 in B-flat Minor, op. 35","sonata no. 2 in b-flat minor, op. 35","candidate_page_normalization_preserves_raw_title"
"Three Preludes","three preludes","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 27 in B-flat Major, K. 595","piano concerto no. 27 in b-flat major, k. 595","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 2 in F Minor, op. 21","piano concerto no. 2 in f minor, op. 21","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 1 in D Minor, op. 15","piano concerto no. 1 in d minor, op. 15","candidate_page_normalization_preserves_raw_title"
"Fantasy in B Minor, op. 28","fantasy in b minor, op. 28","candidate_page_normalization_preserves_raw_title"
"Toccata in G Minor, BWV 915","toccata in g minor, bwv 915","candidate_page_normalization_preserves_raw_title"
"Barcarolle in F-sharp Major, op. 60","barcarolle in f-sharp major, op. 60","candidate_page_normalization_preserves_raw_title"
"Presto passionato in G Minor, op. 22a","presto passionato in g minor, op. 22a","candidate_page_normalization_preserves_raw_title"
"""Saint François de Paule marchant sur les flots"" from Deux légendes","""saint françois de paule marchant sur les flots"" from deux légendes","candidate_page_normalization_preserves_raw_title"
"""Feux d'artifice"" from Préludes, Book II","""feux d'artifice"" from préludes, book ii","candidate_page_normalization_preserves_raw_title"
"Sonata No. 32 in C Minor, op. 111","sonata no. 32 in c minor, op. 111","candidate_page_normalization_preserves_raw_title"
"Organ Prelude and Fugue in D Major, BWV 532","organ prelude and fugue in d major, bwv 532","candidate_page_normalization_preserves_raw_title"
"6 Klavierstücke, op. 118","6 klavierstücke, op. 118","candidate_page_normalization_preserves_raw_title"
"Impromptu No. 2 in F-sharp Major, op. 36","impromptu no. 2 in f-sharp major, op. 36","candidate_page_normalization_preserves_raw_title"
"Les Préludes (Symphonic Poem No. 3)","les préludes (symphonic poem no. 3)","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 3 in C Minor, op. 37","piano concerto no. 3 in c minor, op. 37","candidate_page_normalization_preserves_raw_title"
"Sonata in G Major, Hob. XVI:6","sonata in g major, hob. xvi:6","candidate_page_normalization_preserves_raw_title"
"Etude No. 4 ""Fanfares""","etude no. 4 ""fanfares""","candidate_page_normalization_preserves_raw_title"
"Sonata for Piano, op. 26","sonata for piano, op. 26","candidate_page_normalization_preserves_raw_title"
"BACH Sonata in G Minor, H. 47","bach sonata in g minor, h. 47","candidate_page_normalization_preserves_raw_title"
"Nocturne No. 6 in D-flat Major, op. 63","nocturne no. 6 in d-flat major, op. 63","candidate_page_normalization_preserves_raw_title"
"Variations on a Polish Folk Theme, op. 10","variations on a polish folk theme, op. 10","candidate_page_normalization_preserves_raw_title"
"Overture in the French Style, BWV 831","overture in the french style, bwv 831","candidate_page_normalization_preserves_raw_title"
"""Ondine"" from Préludes, Book II","""ondine"" from préludes, book ii","candidate_page_normalization_preserves_raw_title"
"""Feux d'artifice,"" from Préludes, Book II","""feux d'artifice,"" from préludes, book ii","candidate_page_normalization_preserves_raw_title"
"""Bruyères"" from Préludes, Book II","""bruyères"" from préludes, book ii","candidate_page_normalization_preserves_raw_title"
"""Général Lavine – eccentric"" Préludes, Book II","""général lavine – eccentric"" préludes, book ii","candidate_page_normalization_preserves_raw_title"
"Sonata No. 3 in F Minor, op. 14 (1836)","sonata no. 3 in f minor, op. 14 (1836)","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 22 in E-flat Major, K. 482","piano concerto no. 22 in e-flat major, k. 482","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 2 in A Major","piano concerto no. 2 in a major","candidate_page_normalization_preserves_raw_title"
"Rhapsody on a Theme of Paganini, op. 43","rhapsody on a theme of paganini, op. 43","candidate_page_normalization_preserves_raw_title"
"Toccata in D Major, BWV 912","toccata in d major, bwv 912","candidate_page_normalization_preserves_raw_title"
"Five Bagatelles","five bagatelles","candidate_page_normalization_preserves_raw_title"
"Overture to Tannhäuser","overture to tannhäuser","candidate_page_normalization_preserves_raw_title"
"""Bénédiction de Dieu dans la solitude"" from Harmonies poétiques et religieuses","""bénédiction de dieu dans la solitude"" from harmonies poétiques et religieuses","candidate_page_normalization_preserves_raw_title"
"Trois mouvements de Pétrouchka","trois mouvements de pétrouchka","candidate_page_normalization_preserves_raw_title"
"Ten Pieces from Romeo and Juliet, op. 75","ten pieces from romeo and juliet, op. 75","candidate_page_normalization_preserves_raw_title"
"Darknesse Visible","darknesse visible","candidate_page_normalization_preserves_raw_title"
"Gaspard de la nuit","gaspard de la nuit","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 25 in C Major, K. 503","piano concerto no. 25 in c major, k. 503","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 2 in G Minor, op. 22","piano concerto no. 2 in g minor, op. 22","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 2 in G Minor, op. 16","piano concerto no. 2 in g minor, op. 16","candidate_page_normalization_preserves_raw_title"
"Prelude and Fugue in B-flat Major, op. 87, no. 21","prelude and fugue in b-flat major, op. 87, no. 21","candidate_page_normalization_preserves_raw_title"
"Sonata No. 16 in G Major, op. 31, no. 1","sonata no. 16 in g major, op. 31, no. 1","candidate_page_normalization_preserves_raw_title"
"Waltz from the Opera Faust","waltz from the opera faust","candidate_page_normalization_preserves_raw_title"
"Sonata in E Minor, Hob. XVI:34","sonata in e minor, hob. xvi:34","candidate_page_normalization_preserves_raw_title"
"Variations sérieuses, op. 54","variations sérieuses, op. 54","candidate_page_normalization_preserves_raw_title"
"Sonata No. 3 in F-sharp Minor, op. 23","sonata no. 3 in f-sharp minor, op. 23","candidate_page_normalization_preserves_raw_title"
"Nocturne in F Major, op. 10, no. 1","nocturne in f major, op. 10, no. 1","candidate_page_normalization_preserves_raw_title"
"Sonata No. 1 in F-sharp Minor, op. 11","sonata no. 1 in f-sharp minor, op. 11","candidate_page_normalization_preserves_raw_title"
"Toccata-troncata","toccata-troncata","candidate_page_normalization_preserves_raw_title"
"Sonata No. 7 in B-flat Major, op. 83","sonata no. 7 in b-flat major, op. 83","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 24 in C Minor, K. 491","piano concerto no. 24 in c minor, k. 491","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 1 in B-flat Minor, op. 23","piano concerto no. 1 in b-flat minor, op. 23","candidate_page_normalization_preserves_raw_title"
"Sonata in E Major, Hob. XVI:31","sonata in e major, hob. xvi:31","candidate_page_normalization_preserves_raw_title"
"Canzona serenata, op. 38, no. 6","canzona serenata, op. 38, no. 6","candidate_page_normalization_preserves_raw_title"
"Sonata No. 1, op. 12","sonata no. 1, op. 12","candidate_page_normalization_preserves_raw_title"
"Sonata No. 10 in C Major, K. 330","sonata no. 10 in c major, k. 330","candidate_page_normalization_preserves_raw_title"
"""Ce qu'a vu le vent d'ouest"" from Préludes, Book I","""ce qu'a vu le vent d'ouest"" from préludes, book i","candidate_page_normalization_preserves_raw_title"
"Sonata tragica, op. 39, no. 5","sonata tragica, op. 39, no. 5","candidate_page_normalization_preserves_raw_title"
"Ballade No. 2 in F Major, op. 38","ballade no. 2 in f major, op. 38","candidate_page_normalization_preserves_raw_title"
"Etude in E Major, op. 10, no. 3","etude in e major, op. 10, no. 3","candidate_page_normalization_preserves_raw_title"
"Etude in F Major, op. 10, no. 8","etude in f major, op. 10, no. 8","candidate_page_normalization_preserves_raw_title"
"Jeux d'eau","jeux d'eau","candidate_page_normalization_preserves_raw_title"
"Kreisleriana, op. 16","kreisleriana, op. 16","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 23 in A Major, K. 488","piano concerto no. 23 in a major, k. 488","candidate_page_normalization_preserves_raw_title"
"Piano Concerto in A Minor, op. 16","piano concerto in a minor, op. 16","candidate_page_normalization_preserves_raw_title"
"Rhapsody in Blue","rhapsody in blue","candidate_page_normalization_preserves_raw_title"
"Toccata in C Minor, BWV 911","toccata in c minor, bwv 911","candidate_page_normalization_preserves_raw_title"
"Danse macabre","danse macabre","candidate_page_normalization_preserves_raw_title"
"Intermezzo in A Major, op. 118, no. 2","intermezzo in a major, op. 118, no. 2","candidate_page_normalization_preserves_raw_title"
"Sonata No. 5, op. 53","sonata no. 5, op. 53","candidate_page_normalization_preserves_raw_title"
"Sonata in B Minor","sonata in b minor","candidate_page_normalization_preserves_raw_title"
"Piano Sonata","piano sonata","candidate_page_normalization_preserves_raw_title"
"Sonata No. 3 in F Minor, op. 5","sonata no. 3 in f minor, op. 5","candidate_page_normalization_preserves_raw_title"
"Sonata No. 2 in B-flat Minor, op. 36","sonata no. 2 in b-flat minor, op. 36","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 3 in D Minor, op. 30","piano concerto no. 3 in d minor, op. 30","candidate_page_normalization_preserves_raw_title"
"Sonata in A Major, K. 208","sonata in a major, k. 208","candidate_page_normalization_preserves_raw_title"
"Sonata in G Major, K. 146","sonata in g major, k. 146","candidate_page_normalization_preserves_raw_title"
"Polonaise-Fantaisie in A-flat Major, op. 61","polonaise-fantaisie in a-flat major, op. 61","candidate_page_normalization_preserves_raw_title"
"Images, Book I","images, book i","candidate_page_normalization_preserves_raw_title"
"Preludes, op. 11, nos. 9, 6, 13-15, 18","preludes, op. 11, nos. 9, 6, 13-15, 18","candidate_page_normalization_preserves_raw_title"
"Preludes, op. 28, nos. 7, 8, 11, 19-24","preludes, op. 28, nos. 7, 8, 11, 19-24","candidate_page_normalization_preserves_raw_title"
"Pictures at an Exhibition","pictures at an exhibition","candidate_page_normalization_preserves_raw_title"
"Nocturne in C-sharp Minor, op. 19, no. 4","nocturne in c-sharp minor, op. 19, no. 4","candidate_page_normalization_preserves_raw_title"
"Three Etudes, op. 18","three etudes, op. 18","candidate_page_normalization_preserves_raw_title"
"Fantasia, op. 77","fantasia, op. 77","candidate_page_normalization_preserves_raw_title"
"""Polichinelle"" from Morceaux de fantaisie, op. 3","""polichinelle"" from morceaux de fantaisie, op. 3","candidate_page_normalization_preserves_raw_title"
"SCHUMANN Mazurka in G Major, op. 6, no. 5","schumann mazurka in g major, op. 6, no. 5","candidate_page_normalization_preserves_raw_title"
"Davidsbündlertänze, op. 6","davidsbündlertänze, op. 6","candidate_page_normalization_preserves_raw_title"
"Polonaise in B-flat Major, op. 71, no. 2","polonaise in b-flat major, op. 71, no. 2","candidate_page_normalization_preserves_raw_title"
"Waltz in A-flat Major, op. 38","waltz in a-flat major, op. 38","candidate_page_normalization_preserves_raw_title"
"Mephisto Waltz No. 1","mephisto waltz no. 1","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 5 in E-flat Major, op. 73","piano concerto no. 5 in e-flat major, op. 73","candidate_page_normalization_preserves_raw_title"
"Prelude and Fugue in G-sharp Minor, BWV 887","prelude and fugue in g-sharp minor, bwv 887","candidate_page_normalization_preserves_raw_title"
"""Élégie"" from Morceaux de fantaisie, op. 3","""élégie"" from morceaux de fantaisie, op. 3","candidate_page_normalization_preserves_raw_title"
"Sonata No. 2 in B-flat Minor, op. 36 (1931)","sonata no. 2 in b-flat minor, op. 36 (1931)","candidate_page_normalization_preserves_raw_title"
"Sonata No. 2 in G-sharp Minor, op. 19 “Sonata-Fantasy”","sonata no. 2 in g-sharp minor, op. 19 ""sonata-fantasy""","candidate_page_normalization_preserves_raw_title"
"Sonata No. 2 in G Minor, op. 22","sonata no. 2 in g minor, op. 22","candidate_page_normalization_preserves_raw_title"
"""Kaleidoskop"" from Charakterskizzen, op. 40","""kaleidoskop"" from charakterskizzen, op. 40","candidate_page_normalization_preserves_raw_title"
"Selections from Moments musicaux, op. 16","selections from moments musicaux, op. 16","candidate_page_normalization_preserves_raw_title"
"Sonata No. 3 in B Minor, op. 58","sonata no. 3 in b minor, op. 58","candidate_page_normalization_preserves_raw_title"
"Prélude, Choral et Fugue","prélude, choral et fugue","candidate_page_normalization_preserves_raw_title"
"Étude en forme de valse, op. 52, no. 6","étude en forme de valse, op. 52, no. 6","candidate_page_normalization_preserves_raw_title"
"Variations on ""Mein junges Leben hat ein End""","variations on ""mein junges leben hat ein end""","candidate_page_normalization_preserves_raw_title"
"Sonata No. 7, op. 64 ""White Mass""","sonata no. 7, op. 64 ""white mass""","candidate_page_normalization_preserves_raw_title"
"Fantasia in C Minor, K. 475","fantasia in c minor, k. 475","candidate_page_normalization_preserves_raw_title"
"Three Mazurkas, op. 27","three mazurkas, op. 27","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 19 in F Major, K. 459","piano concerto no. 19 in f major, k. 459","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 4 in G Major, op. 58","piano concerto no. 4 in g major, op. 58","candidate_page_normalization_preserves_raw_title"
"Capriccio in B-flat Major, BWV 992 ""On the Departure of a Beloved Brother""","capriccio in b-flat major, bwv 992 ""on the departure of a beloved brother""","candidate_page_normalization_preserves_raw_title"
"Sonata in F-sharp Minor, op. 25, no. 5","sonata in f-sharp minor, op. 25, no. 5","candidate_page_normalization_preserves_raw_title"
"Scherzo, op. 52, no. 6","scherzo, op. 52, no. 6","candidate_page_normalization_preserves_raw_title"
"Visions fugitives, op. 22, nos. 17, 14, 16","visions fugitives, op. 22, nos. 17, 14, 16","candidate_page_normalization_preserves_raw_title"
"Suggestion diabolique, op. 4, no. 4","suggestion diabolique, op. 4, no. 4","candidate_page_normalization_preserves_raw_title"
"Preludes, op. 34, nos. 1, 15, 16, 9, 17","preludes, op. 34, nos. 1, 15, 16, 9, 17","candidate_page_normalization_preserves_raw_title"
"Klavierstücke, op. 76, nos. 4, 5, 7, 8","klavierstücke, op. 76, nos. 4, 5, 7, 8","candidate_page_normalization_preserves_raw_title"
"Preludes, op. 34, nos. 20, 13, 14","preludes, op. 34, nos. 20, 13, 14","candidate_page_normalization_preserves_raw_title"
"Five Preludes, op. 74","five preludes, op. 74","candidate_page_normalization_preserves_raw_title"
"Sonata No. 3 in B-flat Major","sonata no. 3 in b-flat major","candidate_page_normalization_preserves_raw_title"
"Piano Concerto for the Left Hand in D Major","piano concerto for the left hand in d major","candidate_page_normalization_preserves_raw_title"
"Sonata 1.X.1905 (""From the Street"")","sonata 1.x.1905 (""from the street"")","candidate_page_normalization_preserves_raw_title"
"Waldszenen, op. 82","waldszenen, op. 82","candidate_page_normalization_preserves_raw_title"
"Poѐme in F-sharp Major, op. 32, no. 1","poѐme in f-sharp major, op. 32, no. 1","candidate_page_normalization_preserves_raw_title"
"Sonata No. 4 in F-sharp Major, op. 30","sonata no. 4 in f-sharp major, op. 30","candidate_page_normalization_preserves_raw_title"
"Images, Book II","images, book ii","candidate_page_normalization_preserves_raw_title"
"Sonata No. 14 in C Minor, K. 457","sonata no. 14 in c minor, k. 457","candidate_page_normalization_preserves_raw_title"
"Ballade No. 3 in A-flat Major, op. 47","ballade no. 3 in a-flat major, op. 47","candidate_page_normalization_preserves_raw_title"
"Sonata in D Minor, K. 213","sonata in d minor, k. 213","candidate_page_normalization_preserves_raw_title"
"Variations on a Theme of Corelli, op. 42","variations on a theme of corelli, op. 42","candidate_page_normalization_preserves_raw_title"
"""Le baiser de l'Enfant-Jésus"" from Vingt Regards sur l'Enfant-Jésus","""le baiser de l'enfant-jésus"" from vingt regards sur l'enfant-jésus","candidate_page_normalization_preserves_raw_title"
"Prelude for the Left Hand, op. 9, no. 1","prelude for the left hand, op. 9, no. 1","candidate_page_normalization_preserves_raw_title"
"Vers la flamme, op. 72","vers la flamme, op. 72","candidate_page_normalization_preserves_raw_title"
"Sonata in E-flat Major, Hob. XVI:52","sonata in e-flat major, hob. xvi:52","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 15 in B-flat Major, K. 450","piano concerto no. 15 in b-flat major, k. 450","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 1 in E Minor, op. 11","piano concerto no. 1 in e minor, op. 11","candidate_page_normalization_preserves_raw_title"
"Prelude in C-sharp Minor, op. 11, no. 10","prelude in c-sharp minor, op. 11, no. 10","candidate_page_normalization_preserves_raw_title"
"Prelude in E-flat Minor, op. 11, no. 14","prelude in e-flat minor, op. 11, no. 14","candidate_page_normalization_preserves_raw_title"
"Guirlandes, op. 73, no. 1","guirlandes, op. 73, no. 1","candidate_page_normalization_preserves_raw_title"
"Valses nobles et sentimentales","valses nobles et sentimentales","candidate_page_normalization_preserves_raw_title"
"Hungarian Rhapsody No. 15 in A Minor","hungarian rhapsody no. 15 in a minor","candidate_page_normalization_preserves_raw_title"
"Fantasien, op. 116","fantasien, op. 116","candidate_page_normalization_preserves_raw_title"
"24 Preludes, op. 28","24 preludes, op. 28","candidate_page_normalization_preserves_raw_title"
"Sonata No. 8 in B-flat Major, op. 84","sonata no. 8 in b-flat major, op. 84","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 2 in B-flat Major, op. 83","piano concerto no. 2 in b-flat major, op. 83","candidate_page_normalization_preserves_raw_title"
"Sonata No. 1, op. 22","sonata no. 1, op. 22","candidate_page_normalization_preserves_raw_title"
"Sonata in G Minor, R. 87","sonata in g minor, r. 87","candidate_page_normalization_preserves_raw_title"
"Sonata in D Major, R. 84","sonata in d major, r. 84","candidate_page_normalization_preserves_raw_title"
"Sonata in A Major, Hob. XVI:12","sonata in a major, hob. xvi:12","candidate_page_normalization_preserves_raw_title"
"FALLA Fantasía bética","falla fantasía bética","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 21 in C Major, K. 467","piano concerto no. 21 in c major, k. 467","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 3 in C Major, op. 26","piano concerto no. 3 in c major, op. 26","candidate_page_normalization_preserves_raw_title"
"Prelude and Fugue in G-sharp Minor, op. 29","prelude and fugue in g-sharp minor, op. 29","candidate_page_normalization_preserves_raw_title"
"Miroirs","miroirs","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 9 in E-flat Major, K. 271","piano concerto no. 9 in e-flat major, k. 271","candidate_page_normalization_preserves_raw_title"
"“Monody Dance,"" ""Carnival,"" ""Toll,"" and ""Pent Up"" from Five Etudes","""monody dance,"" ""carnival,"" ""toll,"" and ""pent up"" from five etudes","candidate_page_normalization_preserves_raw_title"
"Prelude and Fugue in B-flat Minor, BWV 891","prelude and fugue in b-flat minor, bwv 891","candidate_page_normalization_preserves_raw_title"
"Adagio in B Minor, K. 540","adagio in b minor, k. 540","candidate_page_normalization_preserves_raw_title"
"Sonata No. 1 in D Minor, op. 28","sonata no. 1 in d minor, op. 28","candidate_page_normalization_preserves_raw_title"
"BACH Sonata in F-sharp Minor, H. 37","bach sonata in f-sharp minor, h. 37","candidate_page_normalization_preserves_raw_title"
"BOULANGER Prelude in D-flat Major","boulanger prelude in d-flat major","candidate_page_normalization_preserves_raw_title"
"Symphonic Etudes, op. 13","symphonic etudes, op. 13","candidate_page_normalization_preserves_raw_title"
"Three Mazurkas, op. 63","three mazurkas, op. 63","candidate_page_normalization_preserves_raw_title"
"Variations and Fugue on a Theme by Handel, op. 24","variations and fugue on a theme by handel, op. 24","candidate_page_normalization_preserves_raw_title"
"Ramble on the Last Love-Duet from Der Rosenkavalier","ramble on the last love-duet from der rosenkavalier","candidate_page_normalization_preserves_raw_title"
"Prelude and Fugue in D Minor, op. 87, no. 24","prelude and fugue in d minor, op. 87, no. 24","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 20 in D Minor, K. 466","piano concerto no. 20 in d minor, k. 466","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 2 in C Minor, op. 18","piano concerto no. 2 in c minor, op. 18","candidate_page_normalization_preserves_raw_title"
"Partita No. 5 in G Major, BWV 829","partita no. 5 in g major, bwv 829","candidate_page_normalization_preserves_raw_title"
"Out of Doors","out of doors","candidate_page_normalization_preserves_raw_title"
"Humoreske in B-flat Major, op. 20","humoreske in b-flat major, op. 20","candidate_page_normalization_preserves_raw_title"
